Year,Location,Type,Average Employment,Average Female Employment,Average Wage,Number of Establishments,Total Wages
2000,Vermont,Accommodation and food services,29701.0,15927.0,13486.0,1772.0,400555.0
2000,Vermont,Administrative and waste services,8259.0,3245.0,20300.0,1005.0,167661.0
2000,Vermont,"Agriculture, forestry, fishing and hunting",2206.0,739.0,19523.0,314.0,43072.0
2000,Vermont,"Arts, entertainment, and recreation",3308.0,1569.0,17031.0,345.0,56346.0
2000,Vermont,Construction supersector,14941.0,1675.0,31356.0,2627.0,468476.0
2000,Vermont,Durable Goods manufacturing,34031.0,9019.0,42195.0,832.0,1435963.0
2000,Vermont,Education and Health Services supersector,42823.0,31987.0,28088.0,1999.0,1202807.0
2000,Vermont,Educational services,8640.0,4915.0,28170.0,261.0,243399.0
2000,Vermont,Federal Government,6064.0,,40716.0,601.0,246891.0
2000,Vermont,Finance and insurance,9615.0,6638.0,42457.0,899.0,408232.0
2000,Vermont,Financial Activities supersector,12664.0,7955.0,37866.0,1587.0,479522.0
2000,Vermont,Goods Producing domain,64803.0,16116.0,37120.0,4297.0,2405516.0
2000,Vermont,Health care and social assistance,34183.0,27071.0,28067.0,1739.0,959408.0
2000,Vermont,Information supersector,6854.0,3311.0,33163.0,480.0,227305.0
2000,Vermont,Leisure and Hospitality supersector,33009.0,17497.0,13842.0,2117.0,456901.0
2000,Vermont,Local government,26620.0,18302.0,25927.0,820.0,690190.0
2000,Vermont,Management of companies and enterprises,301.0,144.0,42994.0,27.0,12934.0
2000,Vermont,Manufacturing supersector,46719.0,13590.0,39830.0,1287.0,1860816.0
2000,Vermont,Mining,938.0,114.0,35350.0,70.0,33152.0
2000,Vermont,Natural Resources and Mining supersector,3144.0,852.0,24244.0,383.0,76224.0
2000,Vermont,Non-Durable Goods manufacturing,12687.0,4571.0,33486.0,455.0,424853.0
2000,Vermont,"Other services, except public administration supersector",10018.0,5273.0,20552.0,2642.0,205883.0
2000,Vermont,Private ownership,249122.0,115581.0,28704.0,22130.0,7150813.0
2000,Vermont,Professional and Business Services supersector,20842.0,9197.0,33378.0,3319.0,695671.0
2000,Vermont,Professional and technical services,12282.0,5808.0,41937.0,2287.0,515076.0
2000,Vermont,Real estate and rental and leasing,3049.0,1318.0,23384.0,688.0,71291.0
2000,Vermont,Retail trade,39676.0,19396.0,19804.0,3822.0,785734.0
2000,Vermont,Service Providing domain,184319.0,99465.0,25745.0,17833.0,4745297.0
2000,Vermont,State government,14661.0,7819.0,33255.0,255.0,487556.0
2000,Vermont,Total Covered -  all ownerships,296468.0,,28925.0,23806.0,8575450.0
2000,Vermont,"Trade, Transportation, and Utilities supersector",58109.0,24245.0,25421.0,5689.0,1477206.0
2000,Vermont,Transportation and warehousing,6794.0,1714.0,30543.0,595.0,207521.0
2000,Vermont,Unspecified industry supersector,,,,,
2000,Vermont,Utilities,1692.0,385.0,60971.0,56.0,103132.0
2000,Vermont,Wholesale trade,9946.0,2751.0,38288.0,1216.0,380817.0
2001,Vermont,Accommodation and food services,29496.0,15846.0,13987.0,1774.0,412556.0
2001,Vermont,Administrative and waste services,7990.0,3069.0,23015.0,1027.0,183893.0
2001,Vermont,"Agriculture, forestry, fishing and hunting",2256.0,725.0,20617.0,328.0,46502.0
2001,Vermont,"Arts, entertainment, and recreation",3435.0,1665.0,16138.0,344.0,55435.0
2001,Vermont,Construction supersector,15218.0,1705.0,32800.0,2690.0,499150.0
2001,Vermont,Durable Goods manufacturing,33467.0,9064.0,44453.0,808.0,1487680.0
2001,Vermont,Education and Health Services supersector,44273.0,33319.0,28941.0,2015.0,1281300.0
2001,Vermont,Educational services,8805.0,5087.0,29272.0,264.0,257733.0
2001,Vermont,Federal Government,5772.0,,43868.0,609.0,253208.0
2001,Vermont,Finance and insurance,9838.0,6786.0,44441.0,885.0,437204.0
2001,Vermont,Financial Activities supersector,12887.0,8147.0,39996.0,1572.0,515448.0
2001,Vermont,Goods Producing domain,63918.0,15961.0,38568.0,4336.0,2465171.0
2001,Vermont,Health care and social assistance,35469.0,28232.0,28858.0,1751.0,1023567.0
2001,Vermont,Information supersector,6685.0,3296.0,35402.0,511.0,236655.0
