Apr,Aug,Average Employment Annual,Average Employment Qtr 1,Average Employment Qtr 2,Average Employment Qtr 3,Average Employment Qtr 4,Average Female Employment Annual,Average Female Employment Qtr 1,Average Female Employment Qtr 2,Average Female Employment Qtr 3,Average Female Employment Qtr 4,Average Wage Annual,Average Wage Qtr 1,Average Wage Qtr 2,Average Wage Qtr 3,Average Wage Qtr 4,County,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Number of Establishments Annual,Number of Establishments Qtr 1,Number of Establishments Qtr 2,Number of Establishments Qtr 3,Number of Establishments Qtr 4,Oct,Sep,Total Wages Annual,Total Wages Qtr 1,Total Wages Qtr 2,Total Wages Qtr 3,Total Wages Qtr 4,Type,Year
290568,293413,296468,293478,296038,294632,301722,na,na,na,na,na,28925,7045,7189,7048,7633,Vermont,305238,292997,292696,290522,301424,294742,296122,298791,23806,23542,23802,23920,23958,301137,299962,8575450,2067514,2128115,2076698,2303123,Total Covered -  all ownerships,2000
241513,253631,249122,244811,246679,252711,252288,115581,112692,115454,115662,118515,28704,7013,7047,6987,7649,Vermont,255700,244645,244877,252648,252850,244912,245675,249229,22130,21872,22132,22238,22276,251934,251854,7150813,1716961,1738357,1765630,1929865,Private ownership,2000
63132,67282,64803,61163,65030,67020,65999,16116,15213,16259,16513,16480,37120,9451,9027,8901,9756,Vermont,65324,60802,61219,67040,67019,61468,64940,66074,4297,4218,4305,4337,4327,66600,66739,2405516,578053,587003,596561,643899,Goods Producing domain,2000
3055,3456,3144,2700,3268,3428,3180,852,723,998,904,783,24244,6229,5828,5880,6353,Vermont,3042,2640,2646,3439,3469,2814,3280,3124,383,382,386,383,381,3373,3390,76224,16820,19047,20157,20201,Natural Resources and Mining supersector,2000
2117,2448,2206,1910,2297,2433,2185,739,618,882,784,670,19523,5013,4651,4730,5175,Vermont,2067,1891,1870,2457,2474,1969,2300,2125,314,313,316,314,311,2362,2394,43072,9575,10684,11508,11305,"Agriculture, forestry, fishing and hunting",2000
938,1008,938,790,971,995,995,114,105,116,120,113,35350,9171,8613,8690,8940,Vermont,975,749,776,982,995,845,980,999,70,69,70,69,70,1011,996,33152,7245,8363,8649,8895,Mining,2000
13939,16714,14941,12590,15226,16586,15361,1675,1463,1761,1773,1701,31356,7677,7392,7603,8669,Vermont,14626,12375,12849,16769,16407,12545,15331,15430,2627,2552,2630,2663,2662,16027,16275,468476,96653,112553,126109,133161,Construction supersector,2000
46138,47112,46719,45873,46537,47006,47459,13590,13027,13500,13836,13996,39830,10127,9786,9580,10336,Vermont,47656,45787,45724,46832,47143,46109,46329,47520,1287,1284,1289,1291,1284,47200,47074,1860816,464581,455403,450295,490537,Manufacturing supersector,2000
33520,34375,34031,33182,33804,34307,34833,9019,8596,8918,9201,9361,42195,10949,10106,10152,10988,Vermont,35071,33093,32992,34098,34200,33460,33693,34874,832,827,835,835,831,34553,34447,1435963,363311,341637,348282,382733,Durable Goods manufacturing,2000
12618,12737,12687,12692,12732,12699,12626,4571,4431,4582,4635,4635,33486,7979,8935,8033,8538,Vermont,12585,12694,12732,12734,12943,12649,12636,12646,455,457,454,456,453,12647,12627,424853,101270,113766,102013,107804,Non-Durable Goods manufacturing,2000
