Year,Month,Location,Type,Employment,Month_Number
2000,Apr,Vermont,Total Covered -  all ownerships,290568.0,4
2000,Apr,Vermont,Private ownership,241513.0,4
2000,Apr,Vermont,Goods Producing domain,63132.0,4
2000,Apr,Vermont,Natural Resources and Mining supersector,3055.0,4
2000,Apr,Vermont,"Agriculture, forestry, fishing and hunting",2117.0,4
2000,Apr,Vermont,Mining,938.0,4
2000,Apr,Vermont,Construction supersector,13939.0,4
2000,Apr,Vermont,Manufacturing supersector,46138.0,4
2000,Apr,Vermont,Durable Goods manufacturing,33520.0,4
2000,Apr,Vermont,Non-Durable Goods manufacturing,12618.0,4
2000,Apr,Vermont,Service Providing domain,178381.0,4
2000,Apr,Vermont,"Trade, Transportation, and Utilities supersector",57018.0,4
2000,Apr,Vermont,Wholesale trade,9943.0,4
2000,Apr,Vermont,Retail trade,38688.0,4
2000,Apr,Vermont,Transportation and warehousing,6694.0,4
2000,Apr,Vermont,Utilities,1693.0,4
2000,Apr,Vermont,Information supersector,6863.0,4
2000,Apr,Vermont,Financial Activities supersector,12639.0,4
2000,Apr,Vermont,Finance and insurance,9663.0,4
2000,Apr,Vermont,Real estate and rental and leasing,2976.0,4
2000,Apr,Vermont,Professional and Business Services supersector,20768.0,4
2000,Apr,Vermont,Professional and technical services,12261.0,4
2000,Apr,Vermont,Management of companies and enterprises,316.0,4
2000,Apr,Vermont,Administrative and waste services,8191.0,4
2000,Apr,Vermont,Education and Health Services supersector,42610.0,4
2000,Apr,Vermont,Educational services,8871.0,4
2000,Apr,Vermont,Health care and social assistance,33739.0,4
2000,Apr,Vermont,Leisure and Hospitality supersector,28618.0,4
2000,Apr,Vermont,"Arts, entertainment, and recreation",2705.0,4
2000,Apr,Vermont,Accommodation and food services,25913.0,4
2000,Apr,Vermont,"Other services, except public administration supersector",9865.0,4
2000,Apr,Vermont,Unspecified industry supersector,,4
2000,Apr,Vermont,Federal Government,6380.0,4
2000,Apr,Vermont,State government,14692.0,4
2000,Apr,Vermont,Local government,27983.0,4
2001,Apr,Vermont,Total Covered -  all ownerships,295203.0,4
2001,Apr,Vermont,Private ownership,245798.0,4
2001,Apr,Vermont,Goods Producing domain,63094.0,4
2001,Apr,Vermont,Natural Resources and Mining supersector,3060.0,4
2001,Apr,Vermont,"Agriculture, forestry, fishing and hunting",2151.0,4
2001,Apr,Vermont,Mining,909.0,4
2001,Apr,Vermont,Construction supersector,13824.0,4
2001,Apr,Vermont,Manufacturing supersector,46210.0,4
2001,Apr,Vermont,Durable Goods manufacturing,34256.0,4
2001,Apr,Vermont,Non-Durable Goods manufacturing,11954.0,4
2001,Apr,Vermont,Service Providing domain,182704.0,4
2001,Apr,Vermont,"Trade, Transportation, and Utilities supersector",57471.0,4
2001,Apr,Vermont,Wholesale trade,10076.0,4
2001,Apr,Vermont,Retail trade,39020.0,4
2001,Apr,Vermont,Transportation and warehousing,6749.0,4
2001,Apr,Vermont,Utilities,1626.0,4
2001,Apr,Vermont,Information supersector,6734.0,4
2001,Apr,Vermont,Financial Activities supersector,12672.0,4
2001,Apr,Vermont,Finance and insurance,9734.0,4
2001,Apr,Vermont,Real estate and rental and leasing,2938.0,4
2001,Apr,Vermont,Professional and Business Services supersector,20727.0,4
2001,Apr,Vermont,Professional and technical services,12620.0,4
2001,Apr,Vermont,Management of companies and enterprises,333.0,4
2001,Apr,Vermont,Administrative and waste services,7774.0,4
2001,Apr,Vermont,Education and Health Services supersector,44062.0,4
2001,Apr,Vermont,Educational services,8981.0,4
2001,Apr,Vermont,Health care and social assistance,35081.0,4
2001,Apr,Vermont,Leisure and Hospitality supersector,31248.0,4
2001,Apr,Vermont,"Arts, entertainment, and recreation",2850.0,4
2001,Apr,Vermont,Accommodation and food services,28398.0,4
