Year,Quarter,Location,Type,Average Employment,Average Female Employment,Average Wage,Number of Establishments,Total Wages
2000,1,Vermont,Accommodation and food services,32233.0,15788.0,3295.0,1758.0,106222.0
2000,1,Vermont,Administrative and waste services,7569.0,3084.0,4900.0,975.0,37085.0
2000,1,Vermont,"Agriculture, forestry, fishing and hunting",1910.0,618.0,5013.0,313.0,9575.0
2000,1,Vermont,"Arts, entertainment, and recreation",2831.0,1291.0,3678.0,346.0,10412.0
2000,1,Vermont,Construction supersector,12590.0,1463.0,7677.0,2552.0,96653.0
2000,1,Vermont,Durable Goods manufacturing,33182.0,8596.0,10949.0,827.0,363311.0
2000,1,Vermont,Education and Health Services supersector,42521.0,31610.0,6765.0,1988.0,287632.0
2000,1,Vermont,Educational services,8747.0,4853.0,6810.0,261.0,59568.0
2000,1,Vermont,Federal Government,6063.0,,10189.0,593.0,61773.0
2000,1,Vermont,Finance and insurance,9722.0,6716.0,11056.0,904.0,107484.0
2000,1,Vermont,Financial Activities supersector,12645.0,8014.0,9767.0,1593.0,123504.0
2000,1,Vermont,Goods Producing domain,61163.0,15213.0,9451.0,4218.0,578053.0
2000,1,Vermont,Health care and social assistance,33774.0,26757.0,6753.0,1727.0,228065.0
2000,1,Vermont,Information supersector,6827.0,3285.0,7975.0,463.0,54441.0
2000,1,Vermont,Leisure and Hospitality supersector,35064.0,17079.0,3326.0,2104.0,116635.0
2000,1,Vermont,Local government,28107.0,18631.0,6187.0,822.0,173892.0
2000,1,Vermont,Management of companies and enterprises,263.0,133.0,11860.0,27.0,3119.0
2000,1,Vermont,Manufacturing supersector,45873.0,13027.0,10127.0,1284.0,464581.0
2000,1,Vermont,Mining,790.0,105.0,9171.0,69.0,7245.0
2000,1,Vermont,Natural Resources and Mining supersector,2700.0,723.0,6229.0,382.0,16820.0
2000,1,Vermont,Non-Durable Goods manufacturing,12692.0,4431.0,7979.0,457.0,101270.0
2000,1,Vermont,"Other services, except public administration supersector",9665.0,5099.0,4953.0,2571.0,47873.0
2000,1,Vermont,Private ownership,244811.0,112692.0,7013.0,21872.0,1716961.0
